generated_at,contract,median_tte_s,coverage_pct,notes
2025-10-26T20:41Z,RegistrationRegistry (Baseline),2.0,,Baseline vulnerable
2025-10-26T20:41Z,RegistrationRegistryImproved,8.29,,Improved secure – no overwrite detected
