generated_at,contract,median_tte_s,coverage_pct,notes
2025-10-27T04:47Z,ShipmentRegistry (Baseline),2.0,,Baseline vulnerable
2025-10-27T04:47Z,ShipmentRegistryImproved,4.55,,Improved secure – no overwrite detected
